Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
2301,5302,Simon,Whitfield,CAN,18,00:17:56,00:00:21,00:58:54,00:00:17,00:30:52,1,,01:48:24
2301,5640,Stefan,Vuckovic,GER,50,00:18:13,00:00:21,00:58:32,00:00:17,00:31:08,2,,01:48:37
2301,93474,Jan,Rehula,CZE,32,00:17:45,00:00:26,00:58:54,00:00:19,00:31:20,3,,01:48:45
2301,5336,Dmitriy,Gaag,KAZ,36,00:17:48,00:00:22,00:58:48,00:00:17,00:31:42,4,,01:49:03
2301,5306,Ivan,Raña Fuentes,ESP,8,00:17:48,00:00:22,00:58:51,00:00:17,00:31:47,5,,01:49:09
2301,5786,Miles,Stewart,AUS,21,00:17:55,00:00:24,00:58:41,00:00:17,00:31:54,6,,01:49:13
2301,5324,Olivier,Marceau,SUI,45,00:17:51,00:00:19,00:57:51,00:00:19,00:32:52,7,,01:49:18
2301,5310,Reto,Hug,SUI,24,00:17:55,00:00:21,00:58:54,00:00:17,00:31:51,8,,01:49:21
2301,5708,Simon,Lessing,GBR,2,00:17:18,00:00:24,00:59:21,00:00:17,00:31:58,9,,01:49:23
2301,5305,Tim,Don,GBR,3,00:17:37,00:00:21,00:59:12,00:00:17,00:31:57,10,,01:49:28
2301,5355,Andriy,Glushchenko,UKR,44,00:17:40,00:00:29,00:59:07,00:00:22,00:31:49,11,,01:49:30
2301,5322,Andreas,Raelert,GER,51,00:17:49,00:00:22,00:58:53,00:00:16,00:32:08,12,,01:49:31
2301,5350,Martin,Krnavek,CZE,33,00:17:49,00:00:21,00:58:59,00:00:21,00:32:05,13,,01:49:37
2301,5304,Leandro,Macedo,BRA,4,00:18:24,00:00:21,00:58:18,00:00:19,00:32:24,14,,01:49:49
2301,5341,Volodymyr,Polikarpenko,UKR,43,00:17:35,00:00:22,00:59:15,00:00:21,00:32:13,15,,01:49:50
2301,5660,Craig,Watson,NZL,15,00:17:41,00:00:22,00:58:57,00:00:19,00:32:37,16,,01:50:01
2301,5325,Hunter,Kemper,USA,38,00:17:48,00:00:22,00:58:57,00:00:17,00:32:37,17,,01:50:04
2301,10057,Markus,Keller,SUI,25,00:18:15,00:00:21,00:58:29,00:00:21,00:32:45,18,,01:50:15
2301,5326,Carl,Blasco,FRA,46,00:17:37,00:00:27,00:58:57,00:00:19,00:32:52,19,,01:50:17
2301,5301,Conrad,Stoltz,RSA,20,00:18:25,00:00:22,00:57:17,00:00:21,00:33:58,20,,01:50:24
2301,5820,Takumi,Obara,JPN,29,00:17:46,00:00:24,00:59:01,00:00:17,00:32:58,21,,01:50:28
2301,5349,Juraci,Moreira,BRA,5,00:18:26,00:00:22,00:58:25,00:00:19,00:33:08,22,,01:50:43
2301,5333,Eneko,Llanos Burguera,ESP,7,00:18:18,00:00:24,00:58:22,00:00:19,00:33:19,23,,01:50:47
2301,10056,Jean-Christophe,Guinchard,SUI,26,00:18:25,00:00:21,00:58:18,00:00:17,00:33:27,24,,01:50:50
2301,10169,Ryan,Bolton,USA,39,00:18:00,00:00:29,00:58:45,00:00:19,00:33:14,25,,01:50:52
2301,5308,Hamish,Carter,NZL,14,00:17:23,00:00:24,00:59:15,00:00:19,00:33:31,26,,01:50:56
2301,5661,Craig,Walton,AUS,22,00:17:17,00:00:26,00:59:16,00:00:19,00:33:35,27,,01:50:56
2301,5706,Oscar,Galindez,ARG,48,00:18:27,00:00:22,00:58:58,00:00:21,00:32:48,28,,01:50:58
2301,5700,Johannes,Enzenhofer,AUT,27,00:17:59,00:00:22,00:58:45,00:00:24,00:33:28,29,,01:51:01
2301,5357,Csaba,Kuttor,HUN,35,00:17:37,00:00:26,00:59:10,00:00:24,00:33:23,30,,01:51:05
2301,10059,Stephan,Bignet,FRA,47,00:17:34,00:00:26,00:59:12,00:00:22,00:33:33,31,,01:51:11
2301,5611,Alessandro,Bottoni,ITA,19,00:18:22,00:00:26,00:58:24,00:00:19,00:33:45,32,,01:51:18
2301,5356,Vasilis,Krommidas,GRE,41,00:18:00,00:00:24,00:58:51,00:00:24,00:33:46,33,,01:51:27
2301,5335,Peter,Robertson,AUS,23,00:18:26,00:00:19,00:58:22,00:00:17,00:34:10,34,,01:51:38
2301,5656,Joachim,Willen,SWE,52,00:17:27,00:00:21,00:59:24,00:00:17,00:34:08,35,,01:51:39
2301,5705,Hideo,Fukui,JPN,30,00:17:27,00:00:29,00:59:11,00:00:19,00:34:35,36,,01:52:03
2301,5346,Gilberto,Gonzalez,VEN,53,00:18:24,00:00:29,00:58:20,00:00:19,00:34:38,37,,01:52:13
2301,10171,Ben,Bright,NZL,16,00:17:50,00:00:22,00:58:48,00:00:21,00:34:50,38,,01:52:16
2301,5604,Paulo Armando,Barcellos Saraiva,BRA,6,00:18:23,00:00:22,00:58:30,00:00:21,00:36:03,39,,01:53:41
2301,5826,Nick,Radkewich,USA,40,00:18:21,00:00:22,00:58:29,00:00:24,00:36:05,40,,01:53:43
2301,10170,Matias,Brain,CHI,42,00:18:27,00:00:27,00:58:20,00:00:24,00:36:01,41,,01:53:43
2301,28487,Eric,Van Der Linden,NED,10,00:17:57,00:00:24,00:58:47,00:00:22,00:36:58,42,,01:54:31
2301,10168,Rob,Barel,NED,11,00:18:14,00:00:17,01:03:16,00:00:14,00:33:30,43,,01:55:36
2301,10160,Jan,Hansen,DEN,17,00:19:02,00:00:21,01:02:28,00:00:19,00:33:29,44,,01:55:41
2301,10058,Roland,Melis,AHO,28,00:18:49,00:00:31,01:02:31,00:00:16,00:34:01,45,,01:56:10
2301,5303,Hiroyuki,Nishiuchi,JPN,31,00:17:50,00:00:24,01:03:39,00:00:17,00:34:46,46,,01:56:59
2301,6400,Mikhail,Kuznestov,KAZ,37,00:18:27,00:00:26,01:04:17,00:00:21,00:35:38,47,,01:59:13
2301,28488,Dennis,Looze,NED,12,00:17:46,00:00:21,00:58:59,00:00:19,00:42:54,48,,02:00:22
2301,5330,Andrew,Johns,GBR,1,00:17:53,00:00:21,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
2301,10522,Mark,Marabini,ZIM,49,00:20:13,00:00:28,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
2301,5761,Jose Maria,Merchan Illanes,ESP,9,00:18:26,00:00:28,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
2301,5340,Filip,Ospaly,CZE,34,00:17:41,00:00:25,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
