Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
1791,5308,Hamish,Carter,NZL,28,00:18:19,00:00:19,01:00:24,00:00:17,00:32:04,1,,01:51:06
1791,5297,Bevan,Docherty,NZL,27,00:18:13,00:00:19,01:00:32,00:00:19,00:32:10,2,,01:51:14
1791,5320,Sven,Riederer,SUI,48,00:18:17,00:00:17,01:00:28,00:00:19,00:32:31,3,,01:51:32
1791,5298,Greg,Bennett,AUS,24,00:18:19,00:00:16,01:01:13,00:00:19,00:31:53,4,,01:51:41
1791,5321,Frederic,Belaubre,FRA,50,00:18:04,00:00:19,01:00:39,00:00:24,00:32:58,5,,01:52:00
1791,5322,Andreas,Raelert,GER,15,00:18:07,00:00:17,01:01:23,00:00:17,00:32:47,6,,01:52:35
1791,5323,Rasmus,Henning,DEN,6,00:18:19,00:00:16,01:01:13,00:00:17,00:32:49,7,,01:52:36
1791,5324,Olivier,Marceau,SUI,46,00:18:17,00:00:17,01:00:28,00:00:19,00:33:40,8,,01:52:44
1791,5325,Hunter,Kemper,USA,8,00:18:11,00:00:19,01:02:23,00:00:22,00:31:51,9,,01:52:46
1791,5307,Simon,Thompson,AUS,26,00:18:19,00:00:17,01:02:17,00:00:16,00:31:53,10,,01:52:47
1791,5302,Simon,Whitfield,CAN,16,00:18:21,00:00:19,01:02:15,00:00:19,00:32:19,11,,01:53:15
1791,5326,Carl,Blasco,FRA,51,00:18:06,00:00:17,01:01:24,00:00:19,00:33:30,12,,01:53:20
1791,5327,Hirokatsu,Tayama,JPN,34,00:18:03,00:00:17,01:01:25,00:00:17,00:33:42,13,,01:53:28
1791,5328,Stephane,Poulat,FRA,49,00:18:04,00:00:19,01:01:24,00:00:19,00:34:04,14,,01:53:50
1791,73138,Igor,Sysoev,RUS,41,00:18:00,00:00:20,01:02:34,00:00:22,00:32:56,15,,01:53:50
1791,5330,Andrew,Johns,GBR,43,00:18:11,00:00:19,01:00:33,00:00:19,00:35:11,16,,01:54:15
1791,5331,Danylo,Sapunov,UKR,21,00:18:14,00:00:19,01:02:21,00:00:19,00:33:38,17,,01:54:33
1791,5305,Tim,Don,GBR,44,00:18:07,00:00:17,01:01:22,00:00:19,00:34:54,18,,01:54:42
1791,5332,Maik,Petzold,GER,14,00:18:17,00:00:17,01:02:18,00:00:19,00:33:57,19,,01:54:50
1791,5333,Eneko,Llanos Burguera,ESP,31,00:18:17,00:00:17,01:02:18,00:00:20,00:33:58,20,,01:54:52
1791,5334,Marko,Albert,EST,22,00:18:01,00:00:17,01:01:31,00:00:19,00:35:37,21,,01:55:26
