Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
305290,7788,Alistair,Brownlee,GBR,5,00:17:24,00:00:50,00:55:04,00:00:34,00:31:09,1,,01:45:01
305290,11378,Jonathan,Brownlee,GBR,6,00:17:24,00:00:50,00:55:04,00:00:33,00:31:16,2,,01:45:07
305290,30433,Henri,Schoeman,RSA,2,00:17:25,00:00:53,00:55:01,00:00:34,00:31:50,3,,01:45:43
305290,16392,Richard,Murray,NED,1,00:18:20,00:00:46,00:55:35,00:00:35,00:30:34,4,,01:45:50
305290,10536,Joao,Pereira,POR,11,00:18:03,00:00:46,00:55:52,00:00:33,00:30:38,5,,01:45:52
305290,40311,Marten,Van Riel,BEL,15,00:17:27,00:00:49,00:55:03,00:00:34,00:32:10,6,,01:46:03
305290,11143,Vincent,Luis,FRA,18,00:17:26,00:00:48,00:55:04,00:00:33,00:32:21,7,,01:46:12
305290,11402,Mario,Mola,ESP,56,00:17:37,00:00:46,00:56:18,00:00:33,00:31:12,8,,01:46:26
305290,10141,Aaron,Royle,AUS,9,00:17:26,00:00:48,00:55:05,00:00:36,00:32:47,9,,01:46:42
305290,28500,Ryan,Bailie,AUS,7,00:17:31,00:00:49,00:56:11,00:00:38,00:31:53,10,,01:47:02
305290,11092,Richard,Varga,SVK,49,00:17:18,00:00:49,00:55:10,00:00:34,00:33:26,11,,01:47:17
305290,7503,Crisanto,Grajales Valencia,MEX,23,00:17:59,00:00:50,00:55:52,00:00:34,00:32:13,12,,01:47:28
305290,41322,Kristian,Blummenfelt,NOR,25,00:17:39,00:00:49,00:56:12,00:00:34,00:32:17,13,,01:47:31
305290,11060,Alessandro,Fabian,ITA,46,00:17:22,00:00:49,00:55:07,00:00:40,00:33:37,14,,01:47:35
305290,49411,Tyler,Mislawchuk,CAN,52,00:17:31,00:00:48,00:56:23,00:00:35,00:32:33,15,,01:47:50
305290,11315,Andrea,Salvisberg,SUI,20,00:17:28,00:00:46,00:55:04,00:00:38,00:34:00,16,,01:47:56
305290,11818,Ryan,Sissons,NZL,36,00:17:34,00:00:48,00:56:20,00:00:34,00:32:45,17,,01:48:01
305290,29442,Fernando,Alarza,ESP,54,00:18:05,00:00:51,00:56:23,00:00:38,00:32:11,18,,01:48:08
305290,5320,Sven,Riederer,SUI,19,00:17:48,00:00:49,00:56:03,00:00:35,00:33:00,19,,01:48:15
305290,11001,Gábor,Faldum,HUN,26,00:18:00,00:00:45,00:55:56,00:00:33,00:33:06,20,,01:48:20
305290,12814,Tony,Dodds,NZL,35,00:17:31,00:00:47,00:56:24,00:00:36,00:33:06,21,,01:48:24
305290,6186,Irving,Perez,MEX,24,00:17:35,00:00:45,00:56:21,00:00:35,00:33:10,22,,01:48:26
305290,143997,Joe,Maloy,USA,39,00:18:03,00:00:50,00:56:25,00:00:35,00:32:37,23,,01:48:30
305290,28201,Ryan,Fisher,AUS,8,00:18:01,00:00:48,00:55:42,00:00:38,00:33:25,24,,01:48:34
305290,30249,Pierre,Le Corre,FRA,17,00:17:28,00:00:48,00:57:02,00:00:35,00:32:43,25,,01:48:36
305290,10955,Ron,Darmon,ISR,44,00:18:06,00:00:47,00:55:48,00:00:39,00:33:21,26,,01:48:41
305290,39908,Vicente,Hernandez,ESP,55,00:18:10,00:00:50,00:55:41,00:00:35,00:33:34,27,,01:48:50
305290,30058,Andreas,Schilling,DEN,34,00:18:11,00:00:48,00:55:33,00:00:38,00:33:46,28,,01:48:56
305290,17043,Ben,Kanute,USA,38,00:17:29,00:00:46,00:55:03,00:00:40,00:35:01,29,,01:48:59
305290,5620,Leonardo,Chacon,CRC,48,00:18:11,00:00:48,00:55:43,00:00:38,00:33:46,30,,01:49:06
305290,14181,Igor,Polyanskiy,RUS,32,00:17:18,00:00:51,00:56:32,00:00:41,00:33:49,31,,01:49:11
305290,7747,Dmitry,Polyanskiy,RUS,31,00:17:24,00:00:49,00:57:07,00:00:36,00:33:30,32,,01:49:26
305290,11408,Tamás,Tóth,HUN,27,00:17:30,00:00:47,00:57:02,00:00:38,00:34:05,33,,01:50:02
305290,29395,Davide,Uccellari,ITA,47,00:17:32,00:00:51,00:56:57,00:00:37,00:35:09,34,,01:51:06
305290,10539,Joao,Silva,POR,12,00:18:08,00:00:49,00:56:22,00:00:39,00:35:35,35,,01:51:33
305290,49390,Dorian,Coninx,FRA,16,00:17:28,00:00:52,00:56:22,00:00:36,00:36:32,36,,01:51:50
305290,158264,Greg,Billington,USA,37,00:18:15,00:00:49,00:59:33,00:00:42,00:32:45,37,,01:52:04
305290,39974,Jelle,Geens,BEL,14,00:18:36,00:00:49,00:59:14,00:00:37,00:32:49,38,,01:52:05
305290,11162,Rostislav,Pevtsov,AZE,51,00:18:14,00:00:51,00:59:32,00:00:42,00:32:47,39,,01:52:06
305290,5551,Bryan,Keane,IRL,50,00:18:10,00:00:57,00:59:30,00:00:41,00:32:51,40,,01:52:09
305290,9917,Diogo,Sclebin,BRA,45,00:18:20,00:00:49,00:59:29,00:00:40,00:33:14,41,,01:52:32
305290,11508,Andrew,Yorke,CAN,53,00:18:17,00:00:48,00:59:10,00:00:35,00:33:56,42,,01:52:46
305290,5864,Manuel,Huerta,PUR,33,00:18:19,00:00:48,00:59:30,00:00:37,00:34:08,43,,01:53:22
305290,7742,Miguel,Arraiolos,POR,10,00:18:44,00:00:50,00:59:04,00:00:35,00:34:22,44,,01:53:35
305290,15371,Gonzalo Raul,Tellechea,ARG,29,00:18:42,00:00:49,00:59:08,00:00:41,00:34:23,45,,01:53:43
305290,10842,Lawrence,Fanous,JOR,21,00:18:16,00:00:48,00:59:34,00:00:40,00:35:47,46,,01:55:05
305290,11979,Thomas,Springer,AUT,3,00:19:45,00:00:49,00:59:41,00:00:39,00:34:20,47,,01:55:14
305290,17069,Luciano,Taccone,ARG,28,00:19:23,00:00:55,00:59:56,00:00:41,00:34:35,48,,01:55:30
305290,11333,Ivan,Ivanov,UKR,40,00:18:58,00:00:51,01:00:26,00:00:43,00:35:02,49,,01:56:00
305290,16884,Faquan,Bai,CHN,42,00:17:31,00:00:49,00:59:49,00:00:37,00:39:22,50,,01:58:08
305290,47188,Gordon,Benson,GBR,4,00:18:09,00:00:53,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
305290,7743,Alexander,Bryukhankov,RUS,30,00:17:26,00:00:51,00:57:03,00:00:46,00:00:00,,DNF,00:00:00
305290,10767,Jason,Wilson,BAR,43,00:17:31,00:00:49,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
305290,12773,Rodrigo,Gonzalez Lopez,MEX,22,00:18:38,00:00:49,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
305290,5327,Hirokatsu,Tayama,JPN,41,00:17:34,00:00:47,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
