Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
655048,63163,Cassandre,Beaugrand,FRA,33,00:22:32,00:00:53,00:58:20,00:00:28,00:32:42,1,,01:54:55
655048,84816,Julie,Derron,SUI,7,00:22:51,00:00:54,00:57:58,00:00:27,00:32:51,2,,01:55:01
655048,117212,Beth,Potter,GBR,25,00:22:25,00:00:54,00:58:26,00:00:26,00:32:59,3,,01:55:10
655048,125375,Emma,Lombardi,FRA,34,00:22:36,00:00:56,00:58:12,00:00:27,00:33:05,4,,01:55:16
655048,7776,Flora,Duffy,BER,44,00:22:05,00:00:56,00:58:44,00:00:28,00:33:59,5,,01:56:12
655048,49545,Georgia,Taylor-Brown,GBR,26,00:22:41,00:00:53,00:58:12,00:00:29,00:34:20,6,,01:56:35
655048,55701,Maya,Kingma,NED,49,00:22:20,00:00:59,00:58:25,00:00:27,00:34:42,7,,01:56:53
655048,70413,Laura,Lindemann,GER,37,00:22:48,00:00:53,00:59:07,00:00:31,00:33:42,8,,01:57:01
655048,79065,Lisa,Tertsch,GER,38,00:22:45,00:00:50,00:59:12,00:00:29,00:33:47,9,,01:57:03
655048,81334,Taylor,Spivey,USA,11,00:22:43,00:00:57,00:58:04,00:00:30,00:34:57,10,,01:57:11
655048,112738,Maria,Tomé,POR,41,00:24:17,00:00:56,00:57:34,00:00:31,00:33:55,11,,01:57:13
655048,79066,Nina,Eim,GER,36,00:23:38,00:00:53,00:58:16,00:00:29,00:33:57,12,,01:57:13
655048,106358,Roksana,Slupek,POL,28,00:23:33,00:00:57,00:58:18,00:00:29,00:33:59,13,,01:57:16
655048,22170,Rachel,Klamer,NED,50,00:23:30,00:01:00,00:58:15,00:00:29,00:34:25,14,,01:57:39
655048,86051,Kate,Waugh,GBR,27,00:24:17,00:00:51,00:57:39,00:00:28,00:34:33,15,,01:57:48
655048,39683,Alice,Betto,ITA,54,00:23:41,00:00:56,00:58:11,00:00:28,00:34:40,16,,01:57:56
655048,31827,Anna,Godoy Contreras,ESP,43,00:23:33,00:00:57,00:58:17,00:00:29,00:34:57,17,,01:58:13
655048,80813,Rosa Maria,Tapia Vidal,MEX,17,00:24:12,00:00:53,00:57:44,00:00:27,00:35:13,18,,01:58:29
655048,80643,Taylor,Knibb,USA,10,00:24:08,00:00:56,00:57:45,00:00:31,00:35:17,19,,01:58:37
655048,125061,Djenyfer,Arnold,BRA,23,00:24:03,00:00:56,00:57:49,00:00:26,00:35:31,20,,01:58:45
655048,123455,Sophie,Linn,AUS,14,00:23:56,00:00:54,00:57:59,00:00:28,00:35:35,21,,01:58:52
655048,106581,Bianca,Seregni,ITA,55,00:22:14,00:00:59,00:59:37,00:00:31,00:35:50,22,,01:59:11
655048,135877,Tilda,Månsson,SWE,47,00:24:03,00:00:59,00:57:48,00:00:33,00:35:59,23,,01:59:22
655048,113106,Jolien,Vermeylen,BEL,6,00:22:42,00:00:54,00:59:16,00:00:29,00:36:23,24,,01:59:44
655048,81882,Vittoria,Lopes,BRA,24,00:22:18,00:00:57,00:59:42,00:00:32,00:36:41,25,,02:00:10
655048,16368,Zsanett,Kuttor-Bragmayer,HUN,48,00:22:34,00:00:56,00:58:15,00:00:27,00:38:12,26,,02:00:24
655048,41158,Leonie,Periault,FRA,35,00:24:06,00:00:57,01:00:35,00:00:31,00:34:31,27,,02:00:40
655048,131701,Xinyu,Lin,CHN,46,00:23:38,00:00:55,00:58:18,00:00:32,00:37:27,28,,02:00:50
655048,26478,Petra,Kurikova,CZE,19,00:24:02,00:00:57,01:00:40,00:00:30,00:34:53,29,,02:01:02
655048,73426,Lizeth,Rueda Santos,MEX,16,00:23:55,00:00:55,00:57:58,00:00:38,00:37:52,30,,02:01:18
655048,64750,Nicole,Van Der Kaay,NZL,53,00:24:13,00:00:57,01:00:29,00:00:30,00:35:24,31,,02:01:33
655048,41079,Julia,Hauser,AUT,2,00:24:41,00:00:57,01:00:39,00:00:32,00:34:55,32,,02:01:44
655048,30383,Miriam,Casillas García,ESP,42,00:26:03,00:00:58,00:59:14,00:00:27,00:35:04,33,,02:01:46
655048,7525,Elizabeth,Bravo,ECU,1,00:24:06,00:00:57,01:00:38,00:00:30,00:35:38,34,,02:01:49
655048,69055,Emy,Legault,CAN,21,00:24:04,00:00:56,01:00:40,00:00:32,00:35:42,35,,02:01:54
655048,82017,Alberte,Kjær Pedersen,DEN,51,00:24:40,00:00:55,01:00:41,00:00:27,00:35:19,36,,02:02:02
655048,83323,Maria Carolina,Velasquez Soto,COL,4,00:24:38,00:00:56,01:00:41,00:00:32,00:35:26,37,,02:02:13
655048,72769,Claire,Michel,BEL,5,00:26:05,00:00:56,00:59:16,00:00:28,00:35:37,38,,02:02:22
655048,58449,Verena,Steinhauser,ITA,56,00:24:51,00:00:56,01:00:28,00:00:29,00:35:51,39,,02:02:35
655048,17285,Yuko,Takahashi,JPN,39,00:24:11,00:00:54,01:00:35,00:00:29,00:36:33,40,,02:02:42
655048,80082,Erica,Hawley,BER,45,00:24:05,00:00:58,01:00:37,00:00:31,00:36:44,41,,02:02:55
